client_id,subscription_id,cycle_number,tenure_months,contract,monthly_charges,total_charges,payment_method,paperless_billing,nivel_reportes,control_stock,duracion_ciclo_dias,dias_restantes_al_corte,renovacion_automatica,alertas_enviadas,renovaciones_previas,region,client_estado,partner,dependents,target_renovo
CL-01218,272,4,56,anual,229.1,11138.04,transferencia,1,basico,1,365,9,1,1,3,Chiclayo,activo,no,no,1
CL-01219,704,1,11,anual,328.87,3744.0,factura,0,avanzado,0,365,33,1,0,0,Piura,inactivo,no,no,1
CL-01220,1526,56,56,mensual,202.7,11123.5,yape,0,avanzado,0,30,19,0,0,55,Chiclayo,activo,si,no,1
CL-01221,100,31,31,mensual,178.72,5492.03,yape,0,avanzado,0,30,37,0,0,30,Lima,activo,si,si,1
CL-01222,1456,24,24,mensual,157.12,2955.19,transferencia,0,basico,1,30,15,0,0,23,Arequipa,activo,no,no,1
CL-01223,2111,1,14,enterprise,326.93,4726.06,yape,1,basico,0,365,36,0,0,0,Lima,activo,si,no,0
CL-01224,118,1,18,anual,156.19,2137.69,factura,1,avanzado,0,365,40,0,0,0,Trujillo,activo,si,si,1
CL-01225,119,72,72,mensual,140.93,10179.11,tarjeta,1,avanzado,1,30,15,0,0,71,Piura,activo,si,no,1
CL-01226,961,3,39,enterprise,379.21,11223.45,tarjeta,1,premium,0,365,24,1,0,2,Lima,activo,no,no,1
CL-01227,2360,36,36,mensual,181.36,5214.92,tarjeta,0,basico,0,30,25,0,0,35,Arequipa,activo,si,no,1
CL-01228,664,25,25,mensual,172.18,3635.6,factura,1,basico,1,30,40,0,0,24,Lima,activo,si,si,1
CL-01229,762,5,72,enterprise,309.67,21656.97,transferencia,1,basico,1,365,17,0,0,4,Piura,activo,si,no,1
CL-01230,1050,64,64,mensual,176.27,11504.94,tarjeta,0,avanzado,0,30,18,0,0,63,Piura,activo,no,si,1
CL-01231,542,14,14,mensual,173.75,2310.75,factura,1,avanzado,0,30,35,0,0,13,Piura,activo,si,si,1
CL-01232,1929,2,25,anual,282.04,6827.7,tarjeta,0,basico,1,365,41,1,0,1,Cusco,activo,no,no,1
CL-01233,1563,27,27,mensual,131.37,2968.59,yape,0,avanzado,1,30,2,0,1,26,Piura,activo,no,si,1
CL-01234,725,2,35,anual,100.58,3670.31,yape,1,premium,1,365,4,1,1,1,Chiclayo,activo,si,no,1
CL-01235,1388,15,15,mensual,61.34,802.62,transferencia,0,premium,0,30,43,0,0,14,Lima,inactivo,si,no,1
CL-01236,2311,43,43,mensual,96.33,4241.08,tarjeta,1,premium,1,30,21,0,0,42,Piura,activo,no,no,1
CL-01237,2364,68,68,mensual,156.42,10464.0,transferencia,1,avanzado,0,30,26,0,0,67,Arequipa,inactivo,no,no,1
CL-01238,2199,1,1,mensual,152.43,131.12,transferencia,0,premium,1,30,41,0,0,0,Lima,activo,si,si,0
CL-01239,1173,4,4,mensual,48.55,165.64,tarjeta,1,avanzado,0,30,18,0,0,3,Arequipa,activo,no,no,1
CL-01240,1582,20,20,mensual,89.38,1705.09,transferencia,0,basico,1,30,21,0,0,19,Arequipa,activo,si,si,1
CL-01241,521,1,21,enterprise,271.02,5874.35,tarjeta,0,premium,1,365,39,1,0,0,Arequipa,activo,si,no,1
CL-01242,2466,72,72,mensual,66.65,4567.03,factura,0,basico,1,30,33,0,0,71,Lima,activo,no,no,1
CL-01243,1726,56,56,mensual,111.8,6306.05,transferencia,0,basico,1,30,32,0,0,55,Trujillo,activo,no,no,1
CL-01244,36,55,55,mensual,102.1,5839.47,tarjeta,0,basico,0,30,17,0,0,54,Trujillo,activo,no,no,1
CL-01245,2367,25,25,mensual,83.11,1764.01,transferencia,0,avanzado,1,30,32,0,0,24,Lima,activo,si,no,1
CL-01246,878,25,25,mensual,98.72,2249.7,transferencia,1,avanzado,1,30,38,0,0,24,Cusco,activo,no,no,1
CL-01247,620,1,1,anual,192.19,179.26,tarjeta,1,avanzado,1,365,42,0,0,0,Arequipa,activo,si,no,0
CL-01248,621,51,51,mensual,77.55,3223.97,tarjeta,0,basico,1,30,29,0,0,50,Piura,activo,si,si,1
CL-01249,410,3,44,enterprise,314.98,13710.34,tarjeta,0,basico,0,365,40,1,0,2,Trujillo,activo,si,si,1
CL-01250,356,5,63,enterprise,392.72,20498.9,transferencia,1,basico,1,365,37,1,0,4,Chiclayo,activo,no,no,1
CL-01251,907,27,27,mensual,67.04,1741.41,tarjeta,0,basico,0,30,33,0,0,26,Cusco,activo,no,si,1
CL-01252,1919,28,28,mensual,37.84,961.14,tarjeta,1,basico,0,30,25,0,0,27,Lima,activo,no,si,1
CL-01253,1404,36,36,mensual,28.49,1026.67,yape,1,basico,0,30,20,0,0,35,Lima,activo,si,si,1
CL-01254,1276,4,54,anual,161.68,7887.91,tarjeta,1,premium,0,365,29,0,0,3,Trujillo,activo,no,no,0
CL-01255,1181,1,1,mensual,49.76,46.08,tarjeta,0,premium,0,30,40,0,0,0,Arequipa,activo,no,si,0
CL-01256,2307,4,50,enterprise,259.87,10450.95,transferencia,0,basico,1,365,24,1,0,3,Lima,activo,si,no,1
CL-01257,2039,2,31,anual,268.37,8256.71,yape,1,basico,1,365,32,1,0,1,Piura,inactivo,no,no,1
CL-01258,991,1,6,enterprise,113.75,594.21,transferencia,0,premium,0,365,26,0,0,0,Piura,activo,no,no,0
CL-01259,2318,1,1,mensual,88.36,81.64,tarjeta,1,avanzado,1,30,30,0,0,0,Arequipa,activo,si,no,0
CL-01260,2398,2,29,enterprise,610.29,17765.98,transferencia,0,premium,0,365,32,1,0,1,Lima,activo,si,no,0
CL-01261,2232,67,67,mensual,114.97,6885.06,yape,1,premium,0,30,3,0,1,66,Piura,inactivo,si,si,1
CL-01262,1596,72,72,mensual,87.15,5222.76,tarjeta,1,basico,0,30,6,0,1,71,Lima,activo,no,no,1
CL-01263,1094,41,41,mensual,92.04,3130.7,tarjeta,0,basico,1,30,2,0,1,40,Lima,activo,no,si,1
CL-01264,919,5,72,enterprise,328.08,21729.61,yape,1,basico,1,365,35,1,0,4,Lima,activo,no,no,1
CL-01265,1785,2,31,anual,294.18,7636.38,transferencia,1,avanzado,1,365,41,1,0,1,Lima,activo,si,no,1
CL-01266,1624,4,55,enterprise,259.35,12146.94,tarjeta,1,premium,1,365,16,1,0,3,Trujillo,activo,no,no,1
CL-01267,82,21,21,mensual,79.29,1366.11,yape,0,basico,1,30,4,0,1,20,Piura,activo,si,no,1
CL-01268,2220,1,19,enterprise,121.63,2042.63,tarjeta,1,premium,0,365,1,1,0,0,Cusco,activo,no,no,1
CL-01269,423,15,15,mensual,124.23,1658.14,transferencia,1,avanzado,1,30,21,0,0,14,Lima,activo,no,no,1
CL-01270,141,1,1,mensual,40.15,36.45,yape,1,avanzado,1,30,29,0,0,0,Cusco,activo,si,no,0
CL-01271,1875,5,63,enterprise,223.38,13057.67,tarjeta,1,avanzado,1,365,15,1,0,4,Trujillo,inactivo,si,si,1
CL-01272,1090,16,16,mensual,77.89,1154.48,transferencia,0,avanzado,1,30,28,0,0,15,Arequipa,activo,si,no,1
CL-01273,1950,12,12,mensual,148.5,1532.83,transferencia,1,avanzado,1,30,7,0,1,11,Lima,inactivo,no,si,1
CL-01274,132,1,3,anual,138.25,423.13,factura,0,avanzado,0,365,33,1,0,0,Arequipa,activo,si,no,1
CL-01275,2372,27,27,mensual,111.16,2711.68,transferencia,1,avanzado,1,30,15,0,0,26,Cusco,activo,no,no,1
CL-01276,1561,72,72,mensual,32.59,2345.62,transferencia,0,basico,0,30,45,0,0,71,Trujillo,activo,no,no,1
CL-01277,167,72,72,mensual,124.32,8210.02,transferencia,0,avanzado,0,30,35,0,0,71,Cusco,activo,no,si,1
CL-01278,32,1,1,mensual,44.5,38.32,transferencia,1,avanzado,1,30,21,0,0,0,Chiclayo,activo,no,si,0
CL-01279,1072,1,23,enterprise,254.43,5685.66,factura,0,premium,0,365,43,0,0,0,Chiclayo,activo,no,no,0
CL-01280,1284,1,6,anual,419.28,2020.31,yape,0,basico,1,365,44,0,0,0,Piura,activo,no,no,0
CL-01281,466,56,56,mensual,132.7,7735.17,yape,0,basico,0,30,9,0,1,55,Cusco,activo,no,no,1
CL-01282,492,39,39,mensual,113.2,4069.08,factura,0,basico,1,30,27,0,0,38,Chiclayo,activo,si,no,1
CL-01283,66,16,16,mensual,217.22,2715.25,tarjeta,1,premium,0,30,30,0,0,15,Arequipa,activo,si,si,1
CL-01284,492,2,34,anual,112.95,3365.67,transferencia,0,avanzado,0,365,17,1,0,1,Lima,activo,si,si,0
CL-01285,871,1,20,enterprise,429.01,8269.27,factura,0,basico,0,365,45,0,0,0,Cusco,activo,no,no,0
CL-01286,1854,5,72,enterprise,93.02,5159.93,factura,0,avanzado,1,365,31,1,0,4,Lima,activo,no,no,1
CL-01287,1680,45,45,mensual,87.95,3278.66,tarjeta,0,avanzado,0,30,35,0,0,44,Arequipa,activo,no,no,1
CL-01288,427,48,48,mensual,41.82,2062.19,transferencia,0,avanzado,0,30,9,0,1,47,Piura,activo,no,si,1
CL-01289,775,1,1,mensual,152.64,130.79,tarjeta,0,avanzado,0,30,41,0,0,0,Cusco,activo,no,no,0
CL-01290,144,2,30,anual,151.08,3615.72,yape,0,avanzado,0,365,44,1,0,1,Lima,activo,si,no,1
CL-01291,2338,72,72,mensual,82.52,4631.44,transferencia,1,basico,1,30,41,0,0,71,Lima,activo,si,no,1
CL-01292,968,5,64,anual,306.77,18371.23,transferencia,1,basico,1,365,20,1,0,4,Trujillo,activo,no,si,1
CL-01293,1898,1,1,anual,124.21,113.96,factura,0,avanzado,1,365,43,1,0,0,Cusco,inactivo,si,si,0
CL-01294,1121,24,24,mensual,124.87,2830.02,tarjeta,0,basico,0,30,1,0,1,23,Cusco,activo,si,no,1
CL-01295,658,2,2,mensual,189.18,392.51,factura,1,basico,1,30,10,0,1,1,Cusco,activo,no,no,0
CL-01296,876,72,72,mensual,43.12,2384.47,transferencia,1,basico,1,30,30,0,0,71,Lima,activo,no,si,1
CL-01297,2386,38,38,mensual,75.93,2335.11,tarjeta,1,avanzado,0,30,35,0,0,37,Trujillo,activo,no,no,1
CL-01298,1293,13,13,mensual,109.22,1164.49,factura,0,avanzado,1,30,6,0,0,12,Trujillo,activo,no,no,0
CL-01299,1765,2,33,anual,246.05,7130.08,factura,1,premium,0,365,14,1,1,1,Lima,activo,no,si,1
CL-01300,912,1,1,mensual,169.4,133.2,factura,0,basico,0,30,5,0,1,0,Chiclayo,inactivo,no,no,0
CL-01301,300,5,5,mensual,103.86,453.33,yape,0,basico,1,30,5,0,1,4,Lima,activo,no,no,0
CL-01302,738,2,33,anual,129.63,4255.8,tarjeta,0,premium,1,365,2,1,1,1,Lima,activo,no,si,1
CL-01303,1657,4,53,anual,119.84,5075.48,tarjeta,0,basico,1,365,45,1,0,3,Lima,activo,si,no,1
CL-01304,1264,1,1,mensual,149.97,153.72,tarjeta,1,premium,1,30,40,0,0,0,Lima,activo,no,no,0
CL-01305,1895,1,23,enterprise,245.17,5770.73,tarjeta,0,basico,1,365,28,1,0,0,Trujillo,activo,no,no,1
CL-01306,79,4,57,enterprise,217.06,11183.38,factura,1,avanzado,1,365,2,1,1,3,Chiclayo,activo,si,no,1
CL-01307,828,1,1,anual,186.88,188.38,transferencia,0,avanzado,1,365,33,0,0,0,Lima,activo,si,si,1
CL-01308,53,3,37,anual,195.06,6953.43,tarjeta,0,avanzado,1,365,25,0,0,2,Arequipa,activo,si,no,0
CL-01309,507,33,33,mensual,87.25,2467.58,yape,1,avanzado,1,30,35,0,0,32,Piura,activo,no,no,1
CL-01310,2183,5,72,enterprise,216.79,14337.15,transferencia,0,basico,0,365,23,0,0,4,Trujillo,activo,no,no,1
CL-01311,766,26,26,mensual,109.75,2239.95,transferencia,1,basico,0,30,1,0,0,25,Piura,activo,si,no,1
CL-01312,1661,2,28,enterprise,99.33,2499.58,factura,0,avanzado,1,365,41,1,0,1,Trujillo,activo,no,no,1
CL-01313,56,4,53,anual,152.38,8068.01,transferencia,0,premium,0,365,40,1,0,3,Chiclayo,activo,no,no,1
CL-01314,860,1,1,mensual,43.76,40.5,transferencia,1,avanzado,1,30,42,0,0,0,Trujillo,activo,si,si,0
CL-01315,817,26,26,mensual,182.46,4101.67,tarjeta,0,avanzado,0,30,30,0,0,25,Lima,activo,si,no,1
CL-01316,879,1,21,anual,162.75,3243.68,transferencia,1,premium,0,365,42,0,0,0,Lima,activo,si,no,1
CL-01317,1619,2,28,anual,143.58,4193.34,transferencia,0,avanzado,0,365,4,1,1,1,Arequipa,suspendido,si,no,1
CL-01318,891,53,53,mensual,96.66,3945.95,yape,0,avanzado,0,30,19,0,0,52,Cusco,activo,no,si,1
CL-01319,46,3,45,anual,144.86,5535.09,tarjeta,1,basico,0,365,15,1,0,2,Lima,inactivo,no,no,1
CL-01320,2162,1,13,enterprise,217.39,2251.76,transferencia,0,avanzado,0,365,22,1,0,0,Arequipa,activo,no,no,0
CL-01321,1648,35,35,mensual,97.69,3545.95,tarjeta,0,basico,1,30,2,0,1,34,Lima,activo,si,no,1
CL-01322,2429,68,68,mensual,99.46,6180.09,factura,0,basico,0,30,38,0,0,67,Lima,activo,no,si,1
CL-01323,1917,11,11,mensual,102.5,889.49,transferencia,1,basico,0,30,14,0,1,10,Lima,activo,si,no,1
CL-01324,751,2,35,enterprise,122.74,4010.87,tarjeta,0,basico,0,365,6,1,1,1,Chiclayo,activo,si,no,1
CL-01325,2165,27,27,mensual,45.67,1109.94,yape,1,avanzado,0,30,9,0,1,26,Piura,activo,si,no,1
CL-01326,1746,2,30,enterprise,278.05,6404.57,factura,1,basico,1,365,6,1,1,1,Cusco,activo,no,si,1
CL-01327,726,1,1,mensual,122.66,123.81,yape,0,avanzado,1,30,31,0,0,0,Lima,activo,si,no,0
CL-01328,622,5,67,anual,61.54,3969.63,factura,0,avanzado,0,365,42,1,0,4,Chiclayo,activo,si,no,1
CL-01329,75,13,13,mensual,128.51,1255.6,yape,0,basico,0,30,4,0,1,12,Lima,activo,si,si,1
CL-01330,1842,57,57,mensual,154.98,9168.68,factura,1,basico,0,30,2,0,1,56,Lima,activo,no,no,1
CL-01331,281,1,17,enterprise,477.79,6479.92,transferencia,1,basico,1,365,40,1,0,0,Lima,activo,si,no,0
CL-01332,2377,17,17,mensual,149.32,1904.03,tarjeta,1,avanzado,0,30,18,0,0,16,Lima,activo,si,no,1
CL-01333,647,62,62,mensual,175.64,9563.12,tarjeta,1,avanzado,1,30,6,0,0,61,Lima,activo,no,no,1
CL-01334,92,4,56,enterprise,483.92,21469.18,factura,0,basico,0,365,9,1,1,3,Lima,activo,si,no,1
CL-01335,2199,3,37,enterprise,199.22,6789.15,factura,0,basico,1,365,31,0,0,2,Lima,activo,no,no,0
CL-01336,160,4,51,enterprise,128.99,5548.49,tarjeta,0,basico,0,365,4,1,0,3,Piura,activo,no,no,1
CL-01337,934,25,25,mensual,26.49,533.48,transferencia,1,premium,0,30,19,0,0,24,Piura,activo,no,no,1
CL-01338,1991,2,32,anual,333.59,11161.69,tarjeta,0,premium,0,365,44,0,0,1,Piura,activo,no,no,0
CL-01339,961,1,16,enterprise,446.01,6064.44,factura,1,avanzado,1,365,20,0,0,0,Cusco,activo,no,no,0
CL-01340,1131,54,54,mensual,75.27,3554.15,tarjeta,0,premium,1,30,8,0,0,53,Trujillo,activo,si,no,1
CL-01341,1804,15,15,mensual,77.36,972.73,yape,0,basico,1,30,35,0,0,14,Arequipa,activo,no,no,0
CL-01342,1388,5,68,enterprise,249.76,17002.3,transferencia,1,avanzado,0,365,20,1,0,4,Chiclayo,activo,si,no,1
CL-01343,524,24,24,mensual,199.78,3879.1,tarjeta,0,avanzado,1,30,18,0,0,23,Lima,activo,si,no,1
CL-01344,974,2,32,anual,58.22,1468.63,factura,1,avanzado,0,365,12,1,1,1,Cusco,activo,no,si,1
CL-01345,914,4,51,enterprise,90.18,4665.58,transferencia,1,avanzado,1,365,34,1,0,3,Lima,activo,no,no,1
CL-01346,136,2,32,anual,366.32,9436.5,transferencia,1,avanzado,1,365,23,1,0,1,Lima,activo,si,no,0
CL-01347,2079,25,25,mensual,125.95,3171.99,tarjeta,0,premium,0,30,22,0,0,24,Arequipa,activo,si,no,1
CL-01348,1006,31,31,mensual,130.48,3735.26,transferencia,0,basico,1,30,35,0,0,30,Piura,activo,si,no,1
CL-01349,787,54,54,mensual,90.37,4865.4,tarjeta,1,basico,1,30,17,0,0,53,Piura,activo,si,no,1
CL-01350,372,16,16,mensual,163.56,2017.8,transferencia,1,basico,1,30,30,0,0,15,Lima,activo,no,no,1
CL-01351,1164,2,29,enterprise,97.32,2932.59,transferencia,1,basico,0,365,8,1,1,1,Lima,activo,no,no,1
CL-01352,812,2,32,enterprise,188.69,5071.56,tarjeta,1,basico,1,365,26,1,0,1,Piura,activo,no,no,1
CL-01353,467,53,53,mensual,108.01,4394.08,factura,1,basico,0,30,20,0,0,52,Arequipa,activo,si,si,1
CL-01354,432,29,29,mensual,27.42,778.85,tarjeta,0,avanzado,0,30,23,0,0,28,Lima,activo,no,si,1
CL-01355,2335,5,72,enterprise,196.01,11340.08,yape,0,avanzado,1,365,17,0,0,4,Arequipa,activo,si,no,1
CL-01356,2140,28,28,mensual,102.25,2448.82,factura,0,avanzado,0,30,6,0,0,27,Cusco,activo,si,no,1
CL-01357,1590,26,26,mensual,82.76,1997.69,yape,0,basico,0,30,42,0,0,25,Cusco,activo,si,no,1
CL-01358,626,28,28,mensual,104.46,2253.87,yape,0,basico,1,30,19,0,0,27,Piura,activo,no,no,1
CL-01359,230,1,1,anual,118.79,96.29,tarjeta,0,avanzado,0,365,34,1,0,0,Lima,activo,no,no,0
CL-01360,1461,6,6,mensual,25.93,139.51,transferencia,1,basico,1,30,41,0,0,5,Lima,inactivo,no,si,0
CL-01361,223,1,19,anual,195.1,3249.36,yape,0,basico,1,365,20,1,0,0,Lima,activo,si,no,0
CL-01362,2463,60,60,mensual,94.41,5195.98,yape,0,avanzado,0,30,37,0,0,59,Lima,activo,no,no,1
CL-01363,1507,2,31,anual,57.43,1724.41,transferencia,0,basico,1,365,20,1,0,1,Lima,activo,no,no,1
CL-01364,2475,20,20,mensual,99.62,1705.29,factura,1,basico,1,30,3,0,0,19,Lima,activo,si,si,1
CL-01365,1438,62,62,mensual,107.77,5821.95,transferencia,0,premium,0,30,40,0,0,61,Lima,activo,si,no,1
CL-01366,1637,70,70,mensual,85.85,4998.19,yape,0,avanzado,0,30,38,0,0,69,Lima,activo,si,no,1
CL-01367,1179,63,63,mensual,37.57,2016.39,factura,1,premium,0,30,26,0,0,62,Lima,activo,no,no,1
CL-01368,772,11,11,mensual,162.47,1367.74,yape,0,avanzado,1,30,38,0,0,10,Chiclayo,activo,no,no,1
CL-01369,26,20,20,mensual,58.19,1075.39,tarjeta,0,basico,0,30,31,0,0,19,Arequipa,activo,no,si,1
CL-01370,1261,72,72,mensual,126.53,7304.83,yape,1,avanzado,0,30,37,0,0,71,Arequipa,activo,no,no,1
CL-01371,2246,38,38,mensual,81.83,3000.35,yape,1,premium,1,30,3,0,1,37,Lima,inactivo,si,si,1
CL-01372,1268,2,25,enterprise,227.61,4339.71,yape,1,premium,1,365,37,1,0,1,Lima,activo,no,si,1
CL-01373,1801,50,50,mensual,176.01,6758.46,transferencia,0,avanzado,1,30,10,0,1,49,Cusco,activo,no,no,1
CL-01374,2191,4,57,enterprise,424.78,20227.25,tarjeta,1,basico,0,365,45,0,0,3,Lima,activo,no,no,0
CL-01375,929,1,18,enterprise,507.77,8056.98,yape,1,avanzado,1,365,44,1,0,0,Lima,activo,no,no,0
CL-01376,1795,37,37,mensual,104.98,3721.44,yape,1,basico,1,30,3,0,1,36,Lima,inactivo,si,no,1
CL-01377,1376,4,55,anual,209.23,11020.36,factura,0,basico,1,365,30,0,0,3,Chiclayo,suspendido,no,no,1
CL-01378,2207,1,3,enterprise,70.37,219.98,tarjeta,1,basico,1,365,18,0,0,0,Lima,activo,no,no,0
CL-01379,1701,2,32,anual,182.53,4996.9,tarjeta,1,basico,0,365,12,1,1,1,Lima,suspendido,no,si,1
CL-01380,40,5,5,mensual,86.36,331.54,yape,1,avanzado,0,30,44,0,0,4,Cusco,suspendido,si,no,0
CL-01381,96,8,8,mensual,144.09,1162.38,factura,1,premium,0,30,19,0,0,7,Piura,activo,si,no,0
CL-01382,2433,18,18,mensual,69.94,1220.13,tarjeta,0,avanzado,0,30,25,0,0,17,Cusco,activo,si,no,1
CL-01383,994,44,44,mensual,111.03,3763.83,tarjeta,0,avanzado,0,30,15,0,0,43,Lima,activo,no,no,1
CL-01384,1707,1,24,enterprise,377.55,7022.44,factura,0,premium,0,365,31,1,0,0,Cusco,activo,no,no,0
CL-01385,2239,1,16,enterprise,539.44,7707.44,tarjeta,0,basico,0,365,12,0,1,0,Lima,activo,no,no,0
CL-01386,2326,33,33,mensual,112.2,3156.44,transferencia,0,avanzado,1,30,17,0,0,32,Arequipa,activo,si,si,1
CL-01387,1840,1,4,anual,216.17,803.21,factura,1,avanzado,1,365,32,0,0,0,Lima,activo,si,si,0
CL-01388,1978,42,42,mensual,39.87,1366.0,yape,0,basico,1,30,10,0,1,41,Lima,activo,no,no,1
CL-01389,1925,4,60,enterprise,99.29,6182.6,tarjeta,1,avanzado,0,365,36,1,0,3,Arequipa,activo,si,no,1
CL-01390,1760,30,30,mensual,27.69,750.65,factura,0,avanzado,0,30,45,0,0,29,Lima,inactivo,no,si,1
CL-01391,2404,2,27,enterprise,387.7,10208.46,yape,1,premium,0,365,32,1,0,1,Cusco,activo,si,no,0
CL-01392,183,3,41,enterprise,412.34,13317.41,factura,0,basico,1,365,17,1,0,2,Lima,activo,si,no,1
CL-01393,691,1,1,mensual,155.02,144.96,transferencia,0,avanzado,1,30,9,0,1,0,Arequipa,activo,si,si,0
CL-01394,361,45,45,mensual,79.73,3622.13,yape,0,avanzado,0,30,26,0,0,44,Arequipa,activo,no,no,1
CL-01395,1959,5,72,enterprise,208.93,11385.97,transferencia,1,premium,0,365,20,1,0,4,Trujillo,activo,no,no,1
CL-01396,524,29,29,mensual,116.9,3091.76,transferencia,0,avanzado,0,30,11,0,1,28,Trujillo,activo,no,no,1
CL-01397,386,29,29,mensual,182.4,4358.78,yape,1,basico,0,30,17,0,0,28,Trujillo,activo,no,si,1
CL-01398,1227,4,50,enterprise,440.64,19685.96,transferencia,0,avanzado,0,365,44,0,0,3,Lima,activo,no,no,1
CL-01399,473,5,72,anual,200.99,14396.01,transferencia,0,premium,1,365,8,0,0,4,Trujillo,activo,no,si,1
CL-01400,1934,56,56,mensual,154.55,8282.83,transferencia,1,basico,0,30,12,0,1,55,Arequipa,activo,no,si,1
CL-01401,1060,1,1,mensual,227.88,222.49,tarjeta,1,avanzado,1,30,16,0,0,0,Lima,inactivo,si,si,0
CL-01402,589,46,46,mensual,93.34,3492.9,factura,0,avanzado,0,30,42,0,0,45,Lima,inactivo,no,no,1
CL-01403,1438,5,72,enterprise,218.82,15751.2,yape,1,avanzado,0,365,17,1,0,4,Arequipa,activo,si,si,1
CL-01404,2451,47,47,mensual,124.85,5481.83,transferencia,0,avanzado,1,30,14,0,1,46,Arequipa,activo,si,si,1
CL-01405,1853,4,4,mensual,63.3,195.16,yape,1,avanzado,0,30,14,0,0,3,Cusco,activo,no,no,0
CL-01406,1662,39,39,mensual,87.47,3441.39,factura,0,basico,1,30,43,0,0,38,Cusco,activo,no,no,1
CL-01407,1731,1,1,enterprise,142.03,108.9,transferencia,1,avanzado,0,365,16,1,0,0,Arequipa,activo,no,si,0
CL-01408,1849,62,62,mensual,165.01,7761.27,yape,1,avanzado,1,30,17,0,0,61,Lima,activo,no,no,1
CL-01409,1563,1,8,enterprise,443.22,3546.2,tarjeta,0,premium,1,365,17,1,0,0,Lima,activo,si,no,0
CL-01410,2253,2,34,anual,325.27,8337.59,factura,1,basico,0,365,40,1,0,1,Chiclayo,activo,no,si,1
CL-01411,666,1,11,enterprise,95.06,811.99,tarjeta,1,avanzado,0,365,32,1,0,0,Trujillo,activo,no,si,0
CL-01412,1284,1,18,enterprise,527.84,7174.16,yape,1,basico,0,365,27,0,0,0,Lima,inactivo,no,no,0
CL-01413,1807,5,68,enterprise,73.78,5087.7,transferencia,1,avanzado,0,365,10,1,1,4,Trujillo,activo,si,no,1
CL-01414,363,2,34,enterprise,118.81,3083.82,transferencia,1,premium,0,365,6,1,1,1,Arequipa,activo,no,si,1
CL-01415,1194,18,18,mensual,83.35,1292.96,transferencia,0,avanzado,1,30,4,0,1,17,Arequipa,activo,no,no,0
CL-01416,1069,1,4,enterprise,435.57,1420.13,transferencia,0,avanzado,0,365,14,1,1,0,Piura,activo,si,no,0
CL-01417,766,1,1,mensual,106.76,91.01,factura,0,basico,1,30,36,0,0,0,Trujillo,activo,no,no,0
CL-01418,1325,1,1,mensual,114.36,95.74,tarjeta,0,premium,1,30,35,0,0,0,Piura,activo,si,si,0
CL-01419,1759,2,35,enterprise,206.28,7337.93,tarjeta,0,basico,1,365,36,1,0,1,Arequipa,activo,no,si,1
CL-01420,2427,4,56,enterprise,86.97,4775.89,factura,0,basico,1,365,31,1,0,3,Cusco,suspendido,si,no,1
CL-01421,1112,1,18,anual,279.65,5111.75,tarjeta,0,basico,1,365,24,1,0,0,Arequipa,activo,si,no,0
CL-01422,180,70,70,mensual,192.13,12992.0,tarjeta,0,avanzado,0,30,17,0,0,69,Arequipa,activo,si,si,1
CL-01423,2459,14,14,mensual,224.49,2668.62,tarjeta,0,premium,0,30,33,0,0,13,Lima,activo,si,no,1
CL-01424,822,26,26,mensual,114.25,2393.49,transferencia,0,premium,1,30,9,0,1,25,Trujillo,activo,no,si,1
CL-01425,985,5,5,mensual,30.93,140.57,factura,1,avanzado,0,30,4,0,1,4,Lima,activo,no,si,0
CL-01426,1864,56,56,mensual,49.53,2377.05,yape,1,avanzado,0,30,38,0,0,55,Trujillo,inactivo,si,no,1
CL-01427,813,72,72,mensual,168.21,11421.08,tarjeta,1,premium,1,30,22,0,0,71,Arequipa,inactivo,no,no,1
CL-01428,1763,1,1,mensual,110.13,83.88,transferencia,1,avanzado,0,30,29,0,0,0,Cusco,activo,no,si,0
CL-01429,25,1,23,enterprise,239.09,5300.52,transferencia,1,basico,0,365,44,0,0,0,Lima,activo,si,no,0
CL-01430,2088,63,63,mensual,66.57,3522.33,yape,1,premium,0,30,31,0,0,62,Lima,activo,no,si,1
CL-01431,1304,1,1,enterprise,482.07,428.4,transferencia,1,premium,0,365,35,1,0,0,Arequipa,activo,no,si,0
CL-01432,2393,3,46,anual,200.98,9648.02,tarjeta,1,avanzado,0,365,22,1,0,2,Arequipa,activo,si,no,1
CL-01433,1511,62,62,mensual,150.74,7613.83,factura,0,avanzado,1,30,15,0,0,61,Lima,activo,no,no,1
CL-01434,1410,34,34,mensual,76.99,2055.64,tarjeta,0,premium,0,30,16,0,0,33,Lima,activo,si,no,1
CL-01435,1234,45,45,mensual,132.98,4864.74,factura,0,avanzado,1,30,41,0,0,44,Lima,activo,no,si,1
CL-01436,2136,5,72,enterprise,100.43,6185.73,tarjeta,0,basico,0,365,18,1,0,4,Lima,activo,si,si,1
CL-01437,449,72,72,mensual,123.94,8128.32,transferencia,0,premium,0,30,43,0,0,71,Lima,activo,no,no,1
CL-01438,2406,30,30,mensual,39.48,1236.59,tarjeta,0,avanzado,0,30,2,0,1,29,Chiclayo,activo,no,si,1
CL-01439,915,1,19,enterprise,99.94,1919.68,factura,1,avanzado,0,365,14,1,1,0,Lima,activo,no,si,1
CL-01440,325,1,9,enterprise,225.76,1959.68,transferencia,0,avanzado,1,365,43,1,0,0,Trujillo,activo,si,no,0
